gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_02674,ec_contig_16,17209,212.176,cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1
BBFGCJEA_02675,ec_contig_16,8409,335.815,cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3
BBFGCJEA_02676,ec_contig_16,3474,258.551,cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4
BBFGCJEA_02677,ec_contig_16,11561,318.675,cyoE,Protoheme IX farnesyltransferase
BBFGCJEA_02678,ec_contig_16,1160,20.8716,yajR,Inner membrane transport protein YajR
BBFGCJEA_02679,ec_contig_16,4207,210.009,yajQ,Nucleotide-binding protein YajQ
BBFGCJEA_02680,ec_contig_16,733,19.7397,panE,2-dehydropantoate 2-reductase
BBFGCJEA_02681,ec_contig_16,1215,50.4917,yajL,Protein/nucleic acid deglycase 3
BBFGCJEA_02682,ec_contig_16,3605,61.1037,thiI,tRNA sulfurtransferase
BBFGCJEA_02683,ec_contig_16,1248,126.136,xseB,Exodeoxyribonuclease 7 small subunit
BBFGCJEA_02684,ec_contig_16,2016,55.0147,ispA,Farnesyl diphosphate synthase
BBFGCJEA_02685,ec_contig_16,2473,32.6018,dxs,1-deoxy-D-xylulose-5-phosphate synthase
BBFGCJEA_02686,ec_contig_16,846,21.3106,yajO,1-deoxyxylulose-5-phosphate synthase YajO
BBFGCJEA_02687,ec_contig_16,1817,85.9841,pgpA,Phosphatidylglycerophosphatase A
BBFGCJEA_02688,ec_contig_16,1163,29.206,thiL,Thiamine-monophosphate kinase
BBFGCJEA_02689,ec_contig_16,1048,61.2834,nusB,Transcription antitermination protein NusB
BBFGCJEA_02690,ec_contig_16,3416,178.126,ribE,6%2C7-dimethyl-8-ribityllumazine synthase
BBFGCJEA_02691,ec_contig_16,945,21.0229,ribD,Riboflavin biosynthesis protein RibD
BBFGCJEA_02692,ec_contig_16,558,30.4546,nrdR,Transcriptional repressor NrdR
BBFGCJEA_02693,ec_contig_16,154,7.00419,yajI,putative lipoprotein YajI
BBFGCJEA_02694,ec_contig_16,2421,67.1865,tsx,Nucleoside-specific channel-forming protein Tsx
BBFGCJEA_02695,ec_contig_16,435,30.7002,,hypothetical protein
BBFGCJEA_02696,ec_contig_16,2340,59.1263,secF,Protein translocase subunit SecF
BBFGCJEA_02697,ec_contig_16,12365,167.32,secD,Protein translocase subunit SecD
BBFGCJEA_02698,ec_contig_16,5002,368.918,yajC,Sec translocon accessory complex subunit YajC
BBFGCJEA_02699,ec_contig_16,5001,108.888,tgt,Queuine tRNA-ribosyltransferase
BBFGCJEA_02700,ec_contig_16,1810,41.5069,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BBFGCJEA_02701,ec_contig_16,630,26.5857,acpH,Acyl carrier protein phosphodiesterase
BBFGCJEA_02702,ec_contig_16,589,7.95705,malZ,Maltodextrin glucosidase
BBFGCJEA_02703,ec_contig_16,1108,19.8054,proY,Proline-specific permease ProY
BBFGCJEA_02704,ec_contig_16,1065,19.8156,brnQ,Branched-chain amino acid permease BrnQ
BBFGCJEA_02705,ec_contig_16,370,7.01177,phoR,Phosphate regulon sensor protein PhoR
BBFGCJEA_02706,ec_contig_16,184,6.54937,phoB,Phosphate regulon transcriptional regulatory protein PhoB
BBFGCJEA_02707,ec_contig_16,531,10.8408,sbcD,Nuclease SbcCD subunit D
BBFGCJEA_02708,ec_contig_16,776,6.05614,sbcC,Nuclease SbcCD subunit C
BBFGCJEA_02709,ec_contig_16,688,13.3155,araJ,Putative transporter AraJ
BBFGCJEA_02710,ec_contig_16,298,8.05162,mak,Fructokinase
BBFGCJEA_02711,ec_contig_16,1104,27.7243,rdgC,Recombination-associated protein RdgC
BBFGCJEA_02712,ec_contig_16,210,42.9802,,hypothetical protein
BBFGCJEA_02713,ec_contig_16,989,85.228,ppnP,Pyrimidine/purine nucleoside phosphorylase
BBFGCJEA_02714,ec_contig_16,583,21.1188,,hypothetical protein
BBFGCJEA_02715,ec_contig_16,874,111.8,yaiA,putative protein YaiA
BBFGCJEA_02716,ec_contig_16,1882,88.0422,aroL,Shikimate kinase 2
BBFGCJEA_02717,ec_contig_16,740,39.5959,,hypothetical protein
BBFGCJEA_02718,ec_contig_16,1659,50.3028,proC,Pyrroline-5-carboxylate reductase
BBFGCJEA_02719,ec_contig_16,150,3.30109,dgcC,putative diguanylate cyclase DgcC
BBFGCJEA_02720,ec_contig_16,215,16.4499,psiF,Phosphate starvation-inducible protein PsiF
BBFGCJEA_02721,ec_contig_16,567,9.83446,phoA,Alkaline phosphatase
BBFGCJEA_02722,ec_contig_16,355,33.4056,iraP,Anti-adapter protein IraP
BBFGCJEA_02723,ec_contig_16,1159,25.9956,ddlA,D-alanine--D-alanine ligase A
BBFGCJEA_02724,ec_contig_16,351,40.4723,,hypothetical protein
BBFGCJEA_02725,ec_contig_16,45,3.57672,yaiY,Inner membrane protein YaiY
BBFGCJEA_02726,ec_contig_16,677,15.1847,,hypothetical protein
BBFGCJEA_02727,ec_contig_16,447,8.9913,sbmA,Peptide antibiotic transporter SbmA
BBFGCJEA_02728,ec_contig_16,177,42.6191,,hypothetical protein
BBFGCJEA_02729,ec_contig_16,685,14.5282,ampH,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
BBFGCJEA_02730,ec_contig_16,91,3.58169,iprA,Inhibitor of hydrogen peroxide resistance
BBFGCJEA_02731,ec_contig_16,465,8.16914,,hypothetical protein
BBFGCJEA_02732,ec_contig_16,71,5.81257,,IS3 family transposase ISEc17
BBFGCJEA_02733,ec_contig_16,162,4.58909,,IS3 family transposase IS3
BBFGCJEA_02734,ec_contig_16,512,8.60698,,hypothetical protein
BBFGCJEA_02735,ec_contig_16,3095,77.9627,hemB,Delta-aminolevulinic acid dehydratase
BBFGCJEA_02736,ec_contig_16,39,1.12423,tauD,Alpha-ketoglutarate-dependent taurine dioxygenase
