gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_02646,ec_contig_16,535,91.4246,hha,Hemolysin expression-modulating protein Hha
BBFGCJEA_00310,ec_contig_4,789,91.135,soxS,Regulatory protein SoxS
BBFGCJEA_01693,ec_contig_16,1465,90.4729,azoR_1,FMN-dependent NADH:quinone oxidoreductase
BBFGCJEA_01383,ec_contig_16,471,89.0244,rpmI,Large ribosomal subunit protein bL35
BBFGCJEA_01771,ec_contig_16,2242,88.2284,uspE,Universal stress protein E
BBFGCJEA_04003,ec_contig_18,2331,87.8509,rpoS,RNA polymerase sigma factor RpoS
BBFGCJEA_03325,ec_contig_17,2368,86.883,epd,D-erythrose-4-phosphate dehydrogenase
BBFGCJEA_02123,ec_contig_16,4992,85.6589,etk,Tyrosine-protein kinase etk
BBFGCJEA_00046,ec_contig_15,660,84.8798,,hypothetical protein
BBFGCJEA_03726,ec_contig_17,4747,83.9967,fusA1,elongation factor G FusA1
BBFGCJEA_00665,ec_contig_7,316,83.8728,rpmH,Large ribosomal subunit protein bL34
BBFGCJEA_00150,ec_contig_4,459,82.9843,,hypothetical protein
BBFGCJEA_04081,ec_contig_18,952,79.1731,kbp,Potassium binding protein Kbp
BBFGCJEA_03727,ec_contig_17,1139,78.9375,rpsG,Small ribosomal subunit protein uS7
BBFGCJEA_02256,ec_contig_16,535,77.6046,grxA,Glutaredoxin 1
BBFGCJEA_00047,ec_contig_15,441,77.4841,cspA,Cold shock protein CspA
IEOEGPMD_00666,pa_contig_19,157,76.3066,,
BBFGCJEA_03691,ec_contig_17,789,75.1342,rpsH,Small ribosomal subunit protein uS8
BBFGCJEA_03668,ec_contig_17,1086,74.8485,topA_2,DNA topoisomerase 1
BBFGCJEA_04208,ec_contig_18,767,74.1716,iscU,Iron-sulfur cluster assembly scaffold protein IscU
BBFGCJEA_03725,ec_contig_17,2305,72.7957,tufA,Elongation factor Tu 1
BBFGCJEA_00885,ec_contig_11,2134,72.34,ompC_1,Outer membrane porin C
BBFGCJEA_01507,ec_contig_16,2406,71.8045,ynfM,Inner membrane transport protein YnfM
BBFGCJEA_02667,ec_contig_16,2420,71.0327,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX
BBFGCJEA_02094,ec_contig_16,732,70.787,rutC,3-aminoacrylate deaminase RutC
BBFGCJEA_02223,ec_contig_16,4301,70.6903,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
BBFGCJEA_03685,ec_contig_17,2511,70.5498,secY,Protein translocase subunit SecY
BBFGCJEA_03671,ec_contig_17,960,70.4457,def,Peptide deformylase
BBFGCJEA_02583,ec_contig_16,921,69.6318,ppiB,Peptidyl-prolyl cis-trans isomerase B
BBFGCJEA_02020,ec_contig_16,971,69.6149,yceD,Large ribosomal RNA subunit accumulation protein YceD
